Path;Name_German;Name_English;Season;Episode;EpisodeAll;IsExtra
Atlantis/Season5/%lang%/S05E16;Eiszeit;Brain Storm;16;16;96;0
Atlantis/Season5/%lang%/S05E17;Infektion;Infection;16;17;97;0
Atlantis/Season5/%lang%/S05E18;Identität;Identity;16;18;98;0
Atlantis/Season5/%lang%/S05E19;Vegas;Vegas;16;19;99;0
Atlantis/Season5/%lang%/S05E20;Feind in Sicht;Enemy at the Gate;16;20;100;0

Universe/Season1/%lang%/S01E010203;Die Destiny & Führungskampf auf der Destiny & Rettung für die Destiny;Air / Pilot;17;1 & 2 & 3;1 & 2 & 3;0
Universe/Season1/%lang%/S01E04;Finsternis – Teil 1;Darkness (1);17;4;4;0
Universe/Season1/%lang%/S01E05;Der Flug ins Licht – Teil 2;Light (2);17;5;5;0
Universe/Season1/%lang%/S01E06;Außerirdische Invasion;Water;17;6;6;0
Universe/Season1/%lang%/S01E07;Die Rückkehr;Earth;17;7;7;0
Universe/Season1/%lang%/S01E08;Die Zeitreise;Time;17;8;8;0
Universe/Season1/%lang%/S01E09;Gefahr für die Destiny;Life;17;9;9;0
Universe/Season1/%lang%/S01E10;Mordverdacht;Justice;17;10;10;0
Universe/Season1/%lang%/S01E11;Weltraum – Teil 1;Space (1);17;11;11;0
Universe/Season1/%lang%/S01E12;Uneins – Teil 2;Divided (2);17;12;12;0
Universe/Season1/%lang%/S01E13;Glaube;Faith;17;13;13;0
Universe/Season1/%lang%/S01E14;Der Genetische Code;Human;17;14;14;0
Universe/Season1/%lang%/S01E15;Verloren;Lost;17;15;15;0
Universe/Season1/%lang%/S01E16;Sabotage;Sabotage;17;16;16;0
Universe/Season1/%lang%/S01E17;Halluzinationen;Pain;17;17;17;0
Universe/Season1/%lang%/S01E18;Die Luzianer-Allianz;Subversion;17;18;18;0
Universe/Season1/%lang%/S01E19;Feindlicher Übergriff – Teil 1;Incursion (1);17;19;19;0
Universe/Season1/%lang%/S01E20;Feindlicher Übergriff – Teil 2;Incursion (2);17;20;20;0

Universe/Season2/%lang%/S02E01;Intervention – Teil 3;Intervention (3);18;1;21;0
Universe/Season2/%lang%/S02E02;Nachwirkungen;Aftermath;18;2;22;0
Universe/Season2/%lang%/S02E03;Angedockt;Awakening;18;3;23;0
Universe/Season2/%lang%/S02E04;Pathogener Keim;Pathogen;18;4;24;0
Universe/Season2/%lang%/S02E05;Wucherungen;Cloverdale;18;5;25;0
Universe/Season2/%lang%/S02E06;Der Test;Trial and Error;18;6;26;0
Universe/Season2/%lang%/S02E07;Das Große Ganze;The Greater Good;18;7;27;0
Universe/Season2/%lang%/S02E08;Hass;Malice;18;8;28;0
Universe/Season2/%lang%/S02E09;Scheinleben;Visitation;18;9;29;0
Universe/Season2/%lang%/S02E10;Unerwartetes Wiedersehen – Teil 1;;18;10;30;0
Universe/Season2/%lang%/S02E11;Erlösung – Teil 2;Deliverance (2);18;11;31;0
Universe/Season2/%lang%/S02E12;Zwillingsschicksale;Twin Destinies;18;12;32;0
Universe/Season2/%lang%/S02E13;Bündnisse;Alliances;18;13;33;0
Universe/Season2/%lang%/S02E14;Hoffnung;Hope;18;14;34;0
Universe/Season2/%lang%/S02E15;Trojanische List;Seizure;18;15;35;0
Universe/Season2/%lang%/S02E16;Die Jagd;The Hunt;18;16;36;0
Universe/Season2/%lang%/S02E17;Verwandtschaft – Teil 1;Common Descent (1);18;17;37;0
Universe/Season2/%lang%/S02E18;Epilog – Teil 2;Epilogue (2);18;18;38;0
Universe/Season2/%lang%/S02E19;Blockade;Blockade;18;19;39;0
Universe/Season2/%lang%/S02E20;Im Ruhezustand;Gauntlet;18;20;40;0

XFILES/Season1/S01E01;Pilot;Pilot;19;1;1;0
XFILES/Season1/S01E02;2;2;19;2;2;0
XFILES/Season1/S01E03;3;3;19;3;3;0
XFILES/Season1/S01E04;4;4;19;4;4;0
XFILES/Season1/S01E05;5;5;19;5;5;0
XFILES/Season1/S01E06;6;6;19;6;6;0
XFILES/Season1/S01E07;7;7;19;7;7;0
XFILES/Season1/S01E08;8;8;19;8;8;0
XFILES/Season1/S01E09;9;9;19;9;9;0
XFILES/Season1/S01E10;10;10;19;10;10;0
XFILES/Season1/S01E11;11;11;19;11;11;0
XFILES/Season1/S01E12;12;12;19;12;12;0
XFILES/Season1/S01E13;13;13;19;13;13;0
XFILES/Season1/S01E14;14;14;19;14;14;0
XFILES/Season1/S01E15;15;15;19;15;15;0
XFILES/Season1/S01E16;16;16;19;16;16;0
XFILES/Season1/S01E17;17;17;19;17;17;0
XFILES/Season1/S01E18;18;18;19;18;18;0
XFILES/Season1/S01E19;19;19;19;19;19;0
XFILES/Season1/S01E20;20;20;19;20;20;0
XFILES/Season1/S01E21;21;21;19;21;21;0
XFILES/Season1/S01E22;22;22;19;22;22;0
XFILES/Season1/S01E23;23;23;19;23;23;0
XFILES/Season1/S01E24;24;24;19;24;24;0
